video,subject,split,start_frame
1-FemaleNoGlasses-Normal.avi,1,train,0
1-FemaleNoGlasses-Normal.avi,1,train,15
1-FemaleNoGlasses-Normal.avi,1,train,30
1-FemaleNoGlasses-Normal.avi,1,train,45
1-FemaleNoGlasses-Normal.avi,1,train,60
1-FemaleNoGlasses-Normal.avi,1,train,75
1-FemaleNoGlasses-Normal.avi,1,train,90
1-FemaleNoGlasses-Normal.avi,1,train,105
1-FemaleNoGlasses-Normal.avi,1,train,120
1-FemaleNoGlasses-Normal.avi,1,train,135
1-FemaleNoGlasses-Normal.avi,1,train,150
1-FemaleNoGlasses-Normal.avi,1,train,165
1-FemaleNoGlasses-Normal.avi,1,train,180
1-FemaleNoGlasses-Normal.avi,1,train,195
1-FemaleNoGlasses-Normal.avi,1,train,210
1-FemaleNoGlasses-Normal.avi,1,train,225
1-FemaleNoGlasses-Normal.avi,1,train,240
1-FemaleNoGlasses-Normal.avi,1,train,255
1-FemaleNoGlasses-Normal.avi,1,train,270
1-FemaleNoGlasses-Normal.avi,1,train,285
1-FemaleNoGlasses-Normal.avi,1,train,300
1-FemaleNoGlasses-Normal.avi,1,train,315
1-FemaleNoGlasses-Normal.avi,1,train,330
1-FemaleNoGlasses-Normal.avi,1,train,345
1-FemaleNoGlasses-Normal.avi,1,train,360
1-FemaleNoGlasses-Normal.avi,1,train,375
1-FemaleNoGlasses-Talking.avi,1,train,0
1-FemaleNoGlasses-Talking.avi,1,train,15
1-FemaleNoGlasses-Talking.avi,1,train,30
1-FemaleNoGlasses-Talking.avi,1,train,45
1-FemaleNoGlasses-Talking.avi,1,train,60
1-FemaleNoGlasses-Talking.avi,1,train,75
1-FemaleNoGlasses-Talking.avi,1,train,90
1-FemaleNoGlasses-Talking.avi,1,train,105
1-FemaleNoGlasses-Talking.avi,1,train,120
1-FemaleNoGlasses-Talking.avi,1,train,135
1-FemaleNoGlasses-Talking.avi,1,train,150
1-FemaleNoGlasses-Talking.avi,1,train,165
1-FemaleNoGlasses-Talking.avi,1,train,180
1-FemaleNoGlasses-Talking.avi,1,train,195
1-FemaleNoGlasses-Talking.avi,1,train,210
1-FemaleNoGlasses-Talking.avi,1,train,225
1-FemaleNoGlasses-Talking.avi,1,train,240
1-FemaleNoGlasses-Talking.avi,1,train,255
1-FemaleNoGlasses-Talking.avi,1,train,270
1-FemaleNoGlasses-Talking.avi,1,train,285
1-FemaleNoGlasses-Talking.avi,1,train,300
1-FemaleNoGlasses-Talking.avi,1,train,315
1-FemaleNoGlasses-Talking.avi,1,train,330
1-FemaleNoGlasses-Talking.avi,1,train,345
1-FemaleNoGlasses-Talking.avi,1,train,360
1-FemaleNoGlasses-Talking.avi,1,train,375
1-FemaleNoGlasses-Talking.avi,1,train,390
1-FemaleNoGlasses-Talking.avi,1,train,405
1-FemaleNoGlasses-Talking.avi,1,train,420
1-FemaleNoGlasses-Talking.avi,1,train,435
1-FemaleNoGlasses-Talking.avi,1,train,450
1-FemaleNoGlasses-Talking.avi,1,train,465
1-FemaleNoGlasses-Talking.avi,1,train,480
1-FemaleNoGlasses-Talking.avi,1,train,495
1-FemaleNoGlasses-Talking.avi,1,train,510
1-FemaleNoGlasses-Talking.avi,1,train,525
1-FemaleNoGlasses-Yawning.avi,1,train,0
1-FemaleNoGlasses-Yawning.avi,1,train,15
1-FemaleNoGlasses-Yawning.avi,1,train,30
1-FemaleNoGlasses-Yawning.avi,1,train,45
1-FemaleNoGlasses-Yawning.avi,1,train,60
1-FemaleNoGlasses-Yawning.avi,1,train,75
1-FemaleNoGlasses-Yawning.avi,1,train,90
1-FemaleNoGlasses-Yawning.avi,1,train,105
1-FemaleNoGlasses-Yawning.avi,1,train,120
1-FemaleNoGlasses-Yawning.avi,1,train,135
1-FemaleNoGlasses-Yawning.avi,1,train,150
1-FemaleNoGlasses-Yawning.avi,1,train,165
1-FemaleNoGlasses-Yawning.avi,1,train,180
1-FemaleNoGlasses-Yawning.avi,1,train,195
1-FemaleNoGlasses-Yawning.avi,1,train,210
1-FemaleNoGlasses-Yawning.avi,1,train,225
1-FemaleNoGlasses-Yawning.avi,1,train,240
1-FemaleNoGlasses-Yawning.avi,1,train,255
1-FemaleNoGlasses-Yawning.avi,1,train,270
1-FemaleNoGlasses-Yawning.avi,1,train,285
1-FemaleNoGlasses-Yawning.avi,1,train,300
1-FemaleNoGlasses-Yawning.avi,1,train,315
1-FemaleNoGlasses-Yawning.avi,1,train,330
1-FemaleNoGlasses-Yawning.avi,1,train,345
1-FemaleNoGlasses.avi,1,train,0
1-FemaleNoGlasses.avi,1,train,15
1-FemaleNoGlasses.avi,1,train,30
1-FemaleNoGlasses.avi,1,train,45
1-FemaleNoGlasses.avi,1,train,60
1-FemaleNoGlasses.avi,1,train,75
1-FemaleNoGlasses.avi,1,train,90
1-FemaleNoGlasses.avi,1,train,105
1-FemaleNoGlasses.avi,1,train,120
1-FemaleNoGlasses.avi,1,train,135
1-FemaleNoGlasses.avi,1,train,150
1-FemaleNoGlasses.avi,1,train,165
1-FemaleNoGlasses.avi,1,train,180
1-FemaleNoGlasses.avi,1,train,195
1-FemaleNoGlasses.avi,1,train,210
1-FemaleNoGlasses.avi,1,train,225
1-FemaleNoGlasses.avi,1,train,240
1-FemaleNoGlasses.avi,1,train,255
1-FemaleNoGlasses.avi,1,train,270
1-FemaleNoGlasses.avi,1,train,285
1-FemaleNoGlasses.avi,1,train,300
1-FemaleNoGlasses.avi,1,train,315
1-FemaleNoGlasses.avi,1,train,330
1-FemaleNoGlasses.avi,1,train,345
1-FemaleNoGlasses.avi,1,train,360
1-FemaleNoGlasses.avi,1,train,375
1-FemaleNoGlasses.avi,1,train,390
1-FemaleNoGlasses.avi,1,train,405
1-FemaleNoGlasses.avi,1,train,420
1-FemaleNoGlasses.avi,1,train,435
1-FemaleNoGlasses.avi,1,train,450
1-FemaleNoGlasses.avi,1,train,465
1-FemaleNoGlasses.avi,1,train,480
1-FemaleNoGlasses.avi,1,train,495
1-FemaleNoGlasses.avi,1,train,510
1-FemaleNoGlasses.avi,1,train,525
1-FemaleNoGlasses.avi,1,train,540
1-FemaleNoGlasses.avi,1,train,555
1-FemaleNoGlasses.avi,1,train,570
1-FemaleNoGlasses.avi,1,train,585
1-FemaleNoGlasses.avi,1,train,600
1-FemaleNoGlasses.avi,1,train,615
1-FemaleNoGlasses.avi,1,train,630
1-FemaleNoGlasses.avi,1,train,645
1-FemaleNoGlasses.avi,1,train,660
1-FemaleNoGlasses.avi,1,train,675
